Designator;Mid X;Mid Y;Layer;Rotation
R13;13.5;-33.25;Top;90
R14;-32;-9.5;Top;0
R15;-30.75;-6;Top;90
R16;-3;-24.75;Top;270
R17; 8.25;-22.75;Top;90
R18;17.25;-11.25;Top;180
R19;15.5;-17.75;Top;180
R20;-23.75; 6.00;Top;90
R21;-33.5; 6.00;Top;90
R22;-36.25;-12.75;Top;0
R23; 7.25;11;Top;0
R24; 7.25;15;Top;0
R25; 0.50;11;Top;180
R26; 0.50;15;Top;180
R27;10.8;-3.85;Top;0
RESET;60.7;-5.1;Top;85
SW1;-59.25;-9.5;Top;280
SW2;-6.2;-35.7;Top;270
U1;15.39; 1.32;Top;270
U2;26.19; 7.92;Top;270
U3;15.65;22.02;Top;270
U4; 3.75;-34.75;Top;180
U5;-29.8;-13.5;Top;270
U6; 8.75;-7.75;Top;180
U12;11.25;-21.25;Top;90
UK1;24.8;55.6;Top;155
UK2;15.6;58.85;Top;165
UK3;-15.25;58.95;Top;195
UK4;-24.6;55.7;Top;205
VR1; 0.62;-12.17;Top;0
Y1; 8.15; 3.86;Top;180
